ID, Name, HW1, HW2, HW3, HW4, HW5, HW6, HW7, Quiz1, Quiz2, Quiz3, Quiz4, E1, E2, E3
, Overall, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 200.0
15417503,"Jones, Corey", 65.0, 48.0, 83.0, 68.0, 45.0, 43.0, 50.0, 82.0, 73.0, 91.0, 92.0, 65.0, 73.0, 115.0
17272764,"Carlson, Berna", 58.0, 75.0, 78.0, 71.0, 87.0, 68.0, 83.0, 87.0, 96.0, 70.0, 69.0, 83.0, 67.0, 140.0
12966435,"Mora, Gianna", 62.0, 93.0, 44.0, 92.0, 45.0, 100.0, 59.0, 76.0, 75.0, 93.0, 66.0, 71.0, 63.0, 195.0
19949311,"Walls, Rosy", 74.0, 76.0, 56.0, 43.0, 68.0, 49.0, 91.0, 82.0, 91.0, 70.0, 86.0, 65.0, 58.0, 126.0
13574491,"Hutchinson, Kathleen", 33.0, 40.0, 97.0, 45.0, 54.0, 44.0, 68.0, 69.0, 80.0, 89.0, 95.0, 72.0, 88.0, 161.0
19762179,"Stanton, Edith", 91.0, 51.0, 42.0, 82.0, 39.0, 98.0, 96.0, 82.0, 75.0, 99.0, 93.0, 73.0, 91.0, 122.0
10335999,"Dunn, Renay", 37.0, 44.0, 88.0, 89.0, 59.0, 73.0, 89.0, 79.0, 92.0, 92.0, 66.0, 69.0, 90.0, 180.0
12777481,"Weber, Rickie", 85.0, 70.0, 42.0, 40.0, 51.0, 81.0, 72.0, 92.0, 69.0, 79.0, 97.0, 63.0, 56.0, 185.0
11582441,"Cook, Alessandra", 44.0, 44.0, 41.0, 53.0, 60.0, 98.0, 95.0, 70.0, 100.0, 91.0, 100.0, 94.0, 58.0, 200.0
19486714,"Jarvis, Mark", 44.0, 75.0, 97.0, 41.0, 86.0, 48.0, 49.0, 98.0, 78.0, 75.0, 91.0, 80.0, 93.0, 126.0
15240575,"Garcia, Alessandra", 51.0, 69.0, 54.0, 47.0, 61.0, 78.0, 50.0, 97.0, 85.0, 91.0, 99.0, 92.0, 59.0, 139.0
13046460,"Fry, Angelo", 55.0, 65.0, 93.0, 96.0, 78.0, 91.0, 69.0, 92.0, 78.0, 96.0, 66.0, 63.0, 89.0, 180.0
17269141,"Pennington, Victor", 60.0, 42.0, 90.0, 59.0, 75.0, 44.0, 60.0, 69.0, 99.0, 74.0, 81.0, 85.0, 62.0, 118.0
13880965,"Werner, Terrance", 98.0, 81.0, 93.0, 60.0, 84.0, 95.0, 45.0, 76.0, 92.0, 81.0, 76.0, 56.0, 97.0, 140.0
16498248,"Hart, Wade", 37.0, 89.0, 66.0, 84.0, 52.0, 100.0, 88.0, 75.0, 67.0, 77.0, 72.0, 61.0, 74.0, 147.0
12602743,"Floyd, Chanell", 59.0, 50.0, 75.0, 33.0, 61.0, 79.0, 58.0, 83.0, 66.0, 87.0, 84.0, 95.0, 91.0, 109.0
11653262,"Stokes, Neomi", 33.0, 40.0, 56.0, 90.0, 36.0, 78.0, 83.0, 69.0, 99.0, 90.0, 70.0, 79.0, 95.0, 199.0
10809052,"Booker, Erin", 49.0, 80.0, 83.0, 99.0, 86.0, 93.0, 34.0, 73.0, 87.0, 78.0, 87.0, 73.0, 98.0, 185.0
19306964,"Peterson, Chris", 90.0, 66.0, 59.0, 64.0, 87.0, 95.0, 97.0, 82.0, 99.0, 98.0, 74.0, 91.0, 78.0, 108.0
15346233,"Ortiz, Timothy", 75.0, 98.0, 89.0, 60.0, 94.0, 54.0, 42.0, 86.0, 84.0, 59.0, 64.0, 59.0, 72.0, 119.0
14789024,"Lawson, Nida", 95.0, 54.0, 74.0, 65.0, 97.0, 42.0, 62.0, 62.0, 87.0, 81.0, 93.0, 100.0, 64.0, 159.0
17222588,"Fletcher, Gordon", 42.0, 53.0, 35.0, 45.0, 46.0, 94.0, 89.0, 84.0, 80.0, 66.0, 95.0, 73.0, 69.0, 106.0
15514268,"Moody, Hector", 73.0, 84.0, 41.0, 62.0, 33.0, 91.0, 53.0, 82.0, 92.0, 64.0, 97.0, 85.0, 95.0, 121.0
11103675,"Lloyd, Eric", 73.0, 86.0, 68.0, 75.0, 91.0, 68.0, 65.0, 82.0, 78.0, 69.0, 92.0, 82.0, 66.0, 187.0
14613021,"Mills, Gilma", 79.0, 36.0, 71.0, 48.0, 61.0, 79.0, 67.0, 77.0, 92.0, 75.0, 89.0, 93.0, 56.0, 145.0
19351632,"Bridges, Cammy", 63.0, 60.0, 35.0, 41.0, 92.0, 47.0, 72.0, 79.0, 64.0, 65.0, 100.0, 81.0, 77.0, 193.0
12985225,"Webb, Tony", 37.0, 91.0, 80.0, 60.0, 72.0, 100.0, 57.0, 65.0, 100.0, 92.0, 80.0, 91.0, 95.0, 174.0
12592611,"Howard, Perry", 87.0, 38.0, 54.0, 95.0, 92.0, 77.0, 36.0, 63.0, 66.0, 57.0, 100.0, 74.0, 77.0, 177.0
12988631,"Chase, Samuel", 74.0, 39.0, 39.0, 48.0, 49.0, 71.0, 96.0, 58.0, 72.0, 89.0, 92.0, 95.0, 59.0, 134.0
11658558,"Allen, Rick", 37.0, 68.0, 91.0, 89.0, 61.0, 35.0, 35.0, 58.0, 77.0, 66.0, 86.0, 91.0, 59.0, 127.0
10413470,"Stephens, Dorthey", 70.0, 61.0, 76.0, 67.0, 74.0, 97.0, 51.0, 95.0, 79.0, 76.0, 72.0, 99.0, 66.0, 166.0
