ID, Name, Final Grade, Homework, Quizzes, Exams
, Overall, , 700.0, 400.0, 400.0
15417503,"Jones, Corey", 68.65, 402.0, 338.0, 253.0
17272764,"Carlson, Berna", 75.925, 520.0, 322.0, 290.0
12966435,"Mora, Gianna", 76.55, 495.0, 310.0, 329.0
19949311,"Walls, Rosy", 70.3125, 457.0, 329.0, 249.0
13574491,"Hutchinson, Kathleen", 72.2625, 381.0, 333.0, 321.0
19762179,"Stanton, Edith", 76.9375, 499.0, 349.0, 286.0
10335999,"Dunn, Renay", 78.1625, 479.0, 329.0, 339.0
12777481,"Weber, Rickie", 74.3375, 441.0, 337.0, 304.0
11582441,"Cook, Alessandra", 79.7375, 435.0, 361.0, 352.0
19486714,"Jarvis, Mark", 74.35, 440.0, 342.0, 299.0
15240575,"Garcia, Alessandra", 74.8, 410.0, 372.0, 290.0
13046460,"Fry, Angelo", 81.3, 547.0, 332.0, 332.0
17269141,"Pennington, Victor", 69.6375, 430.0, 323.0, 265.0
13880965,"Werner, Terrance", 78.2125, 556.0, 325.0, 293.0
16498248,"Hart, Wade", 72.4125, 516.0, 291.0, 282.0
12602743,"Floyd, Chanell", 70.875, 415.0, 320.0, 295.0
11653262,"Stokes, Neomi", 77.475, 416.0, 328.0, 373.0
10809052,"Booker, Erin", 81.3375, 524.0, 325.0, 356.0
19306964,"Peterson, Chris", 79.5625, 558.0, 353.0, 277.0
15346233,"Ortiz, Timothy", 69.9875, 512.0, 293.0, 250.0
14789024,"Lawson, Nida", 76.9375, 489.0, 323.0, 323.0
17222588,"Fletcher, Gordon", 67.2375, 404.0, 325.0, 248.0
15514268,"Moody, Hector", 73.7375, 437.0, 335.0, 301.0
11103675,"Lloyd, Eric", 79.5125, 526.0, 321.0, 335.0
14613021,"Mills, Gilma", 73.2375, 441.0, 333.0, 294.0
19351632,"Bridges, Cammy", 73.775, 410.0, 308.0, 351.0
12985225,"Webb, Tony", 81.3375, 497.0, 337.0, 360.0
12592611,"Howard, Perry", 73.575, 479.0, 286.0, 328.0
12988631,"Chase, Samuel", 69.6125, 416.0, 311.0, 288.0
11658558,"Allen, Rick", 66.6875, 416.0, 287.0, 277.0
10413470,"Stephens, Dorthey", 77.8, 496.0, 322.0, 331.0
11397936,"Bright, Erin", 81.125, 509.0, 332.0, 355.0
16940417,"Kawkins, Tory", 81.8125, 510.0, 323.0, 374.0
17897552,"Peters, Melvin", 79.525, 569.0, 324.0, 303.0
13022696,"Jennings, Gregory", 65.6875, 357.0, 299.0, 289.0
18347237,"Reeves, Jacob", 69.5875, 413.0, 321.0, 278.0
15750634,"Harrison, Matthew", 65.3, 436.0, 288.0, 244.0
